"Buchholz's OCF","Madore's OCF"
"\psi(\Omega)","\psi(0)"
"\psi(\Omega) + \psi(0)","\psi(0) + 1"
"\psi(\Omega) + \psi(1)","\psi(0) + \omega"
"\psi(\Omega) + \psi(\psi(1))","\psi(0) + \omega^\omega"
"\psi(\Omega) + \psi(\psi(\psi(1)))","\psi(0) + \omega^{\omega^\omega}"
"\psi(\Omega) \cdot 2","\psi(0) \cdot 2"
"\psi(\Omega) \cdot 3","\psi(0) \cdot 3"
"\psi(\Omega + 1)","\psi(0) \cdot \omega"
"\psi(\Omega + 1) + \psi(1)","\psi(0) \cdot \omega + \omega"
"\psi(\Omega + 1) + \psi(\psi(1))","\psi(0) \cdot \omega + \omega^\omega"
"\psi(\Omega + 1) \cdot 2","\psi(0) \cdot \omega \cdot 2"
"\psi(\Omega + 2)","\psi(0) \cdot \omega^2"
"\psi(\Omega + 2) \cdot 2","\psi(0) \cdot \omega^2 \cdot 2"
"\psi(\Omega + 3)","\psi(0) \cdot \omega^3"
"\psi(\Omega + \psi(1))","\psi(0) \cdot \omega^\omega"
"\psi(\Omega + \psi(2))","\psi(0) \cdot \omega^{\omega^2}"
"\psi(\Omega + \psi(\psi(1)))","\psi(0) \cdot \omega^{\omega^\omega}"
"\psi(\Omega + \psi(\Omega))","\psi(0)^2"
"\psi(\Omega + \psi(\Omega)) + \psi(1)","\psi(0)^2 + \omega"
"\psi(\Omega + \psi(\Omega)) + \psi(\psi(1))","\psi(0)^2 + \omega^\omega"
"\psi(\Omega + \psi(\Omega)) + \psi(\Omega)","\psi(0)^2 + \psi(0)"
"\psi(\Omega + \psi(\Omega)) + \psi(\Omega + 1)","\psi(0)^2 + \psi(0) \cdot \omega"
"\psi(\Omega + \psi(\Omega)) \cdot 2","\psi(0)^2 \cdot 2"
"\psi(\Omega + \psi(\Omega) + 1)","\psi(0)^2 \cdot \omega"
"\psi(\Omega + \psi(\Omega) + \psi(1))","\psi(0)^2 \cdot \omega^\omega"
"\psi(\Omega + \psi(\Omega) \cdot 2)","\psi(0)^3"
"\psi(\Omega + \psi(\Omega) \cdot 3)","\psi(0)^4"
"\psi(\Omega + \psi(\Omega + 1))","\psi(0)^\omega"
"\psi(\Omega + \psi(\Omega + 1)) \cdot 2","\psi(0)^\omega \cdot 2"
"\psi(\Omega + \psi(\Omega + 1) + 1)","\psi(0)^\omega \cdot \omega"
"\psi(\Omega + \psi(\Omega + 1) + \psi(1))","\psi(0)^\omega \cdot \omega^\omega"
"\psi(\Omega + \psi(\Omega + 1) + \psi(\Omega))","\psi(0)^{\omega+1}"
"\psi(\Omega + \psi(\Omega + 1) + \psi(\Omega) \cdot 2)","\psi(0)^{\omega+2}"
"\psi(\Omega + \psi(\Omega + 1) \cdot 2)","\psi(0)^{\omega \cdot 2}"
"\psi(\Omega + \psi(\Omega + 2))","\psi(0)^{\omega^2}"
"\psi(\Omega + \psi(\Omega + \psi(1)))","\psi(0)^{\omega^\omega}"
"\psi(\Omega + \psi(\Omega + \psi(\psi(1))))","\psi(0)^{\omega^{\omega^\omega}}"
"\psi(\Omega + \psi(\Omega + \psi(\Omega)))","\psi(0)^{\psi(0)}"
"\psi(\Omega + \psi(\Omega + \psi(\Omega)) + 1)","\psi(0)^{\psi(0)} \cdot \omega"
"\psi(\Omega + \psi(\Omega + \psi(\Omega)) + \psi(\Omega))","\psi(0)^{\psi(0)+1}"
"\psi(\Omega + \psi(\Omega + \psi(\Omega)) + \psi(\Omega + 1))","\psi(0)^{\psi(0)+\omega}"
"\psi(\Omega + \psi(\Omega + \psi(\Omega)) + \psi(\Omega) \cdot 2)","\psi(0)^{\psi(0) \cdot 2}"
"\psi(\Omega + \psi(\Omega + \psi(\Omega + 1)))","\psi(0)^{\psi(0) \cdot \omega}"
"\psi(\Omega + \psi(\Omega + \psi(\Omega + 2)))","\psi(0)^{\psi(0)^2}"
"\psi(\Omega + \psi(\Omega + \psi(\Omega + \psi(1))))","\psi(0)^{\psi(0)^\omega}"
"\psi(\Omega + \psi(\Omega + \psi(\Omega + \psi(\Omega))))","\psi(0)^{\psi(0)^{\psi(0)}}"
"\psi(\Omega \cdot 2)","\psi(1)"
"\psi(\Omega \cdot 2) + \psi(\Omega)","\psi(1) + \psi(0)"
"\psi(\Omega \cdot 2) + \psi(\Omega + 1)","\psi(1) + \psi(0) \cdot \omega"
"\psi(\Omega \cdot 2) + \psi(\Omega + \psi(\Omega + 1))","\psi(1) + \psi(0)^\omega"
"\psi(\Omega \cdot 2) \cdot 2","\psi(1) \cdot 2"
"\psi(\Omega \cdot 2 + 1)","\psi(1) \cdot \omega"
"\psi(\Omega \cdot 2 + \psi(\Omega))","\psi(1) \cdot \psi(0)"
"\psi(\Omega \cdot 2 + \psi(\Omega + \psi(\Omega)))","\psi(1) \cdot \psi(0)^2"
"\psi(\Omega \cdot 2 + \psi(\Omega \cdot 2) \cdot 2)","\psi(1)^3"
"\psi(\Omega \cdot 2 + \psi(\Omega \cdot 2 + 1))","\psi(1)^\omega"
"\psi(\Omega \cdot 2 + \psi(\Omega \cdot 2 + \psi(\Omega)))","\psi(1)^{\psi(0)}"
"\psi(\Omega \cdot 2 + \psi(\Omega \cdot 2 + \psi(\Omega \cdot 2)))","\psi(1)^{\psi(1)}"
